Scenario,Cohort_Protocol,ID_Bits,Fold,Training_Indices,Authentication_Index,PCA_Training_Devices,Template_Devices,Enrollment_Rows,PCA_Training_Rows,Fit_Seconds,Mean_Transform_Milliseconds,Directed_Impostor_Comparisons,Variance_Explained_By_ID_Components,Intra_Mean,Intra_Mean_Normalized,Intra_Std_Normalized,Intra_Std,Intra_Min,Intra_Q05,Intra_Median,Intra_Q95,Intra_Max,Intra_Count,Inter_Mean,Inter_Mean_Normalized,Inter_Std_Normalized,Inter_Std,Inter_Min,Inter_Q05,Inter_Median,Inter_Q95,Inter_Max,Inter_Count,Fixed_Threshold,FAR_At_Fixed_Threshold,FRR_At_Fixed_Threshold,Descriptive_EER_Threshold,Descriptive_EER,Minimum_Balanced_Error_Threshold,Minimum_Balanced_Error,Empirical_Overlap_Coefficient,Separation_Score,D_Prime
Single-sweep,enrolled_cohort,128,enroll_4_test_1,4,1,295,295,295,295,2.077213299984578,1.5767013573214033,86730,0.9964683484451416,6.138983050847457,0.04796080508474576,0.030637132077161032,3.921552905876612,0.0,1.0,5.0,13.0,29.0,295,64.12985126253892,0.5010144629885853,0.040771197927123845,5.218713334671852,39.0,56.0,64.0,73.0,86.0,86730,14,0.0,0.03389830508474576,29,0.0,29,0.0,0.0,57.99086821169146,12.563214390266332
Single-sweep,enrolled_cohort,128,enroll_4_test_2,4,2,295,295,295,295,2.615173100028187,1.4828922029710927,86730,0.9964683484451416,4.755932203389831,0.03715572033898305,0.026764109275136012,3.4258059872174096,0.0,1.0,4.0,9.300000000000011,31.0,295,64.13176524847228,0.5010294160036897,0.040695166955392714,5.208981370290267,40.0,56.0,64.0,73.0,87.0,86730,14,0.0,0.020338983050847456,31,0.0,31,0.0,0.0,59.375833045082445,13.468508056063317
Single-sweep,enrolled_cohort,128,enroll_4_test_3,4,3,295,295,295,295,2.6121884000021964,1.3905467816739012,86730,0.9964683484451416,3.830508474576271,0.02992584745762712,0.02033336668446598,2.6026709356116453,0.0,1.0,3.0,8.0,22.0,295,64.133886775049,0.5010459904300704,0.040658619905699425,5.204303347929526,39.0,56.0,64.0,73.0,87.0,86730,14,0.0,0.010169491525423728,22,0.0,22,0.0,0.0,60.30337830047274,14.656210621744416
Single-sweep,enrolled_cohort,128,enroll_4_test_5,4,5,295,295,295,295,1.9157110000378452,1.4803664387850943,86730,0.9964683484451416,3.5864406779661016,0.02801906779661017,0.019209973260847158,2.4588765773884362,0.0,1.0,3.0,7.300000000000011,20.0,295,64.13665398362735,0.5010676092470887,0.04072548940335446,5.212862643629371,39.0,56.0,64.0,73.0,88.0,86730,14,0.0,0.006779661016949152,20,0.0,20,0.0,0.0,60.55021330566125,14.856988579478806
Single-sweep,enrolled_cohort,128,enroll_5_test_1,5,1,295,295,295,295,2.6240792000317015,1.549134575919706,86730,0.9964894214941922,5.9932203389830505,0.04682203389830508,0.029794391823202114,3.8136821533698706,0.0,1.0,5.0,12.300000000000011,32.0,295,64.13822206848842,0.5010798599100658,0.0408004392251296,5.222456220816589,38.0,56.0,64.0,73.0,86.0,86730,14,0.0,0.02711864406779661,32,0.0,32,0.0,0.0,58.14500172950537,12.715827017005319
Single-sweep,enrolled_cohort,128,enroll_5_test_2,5,2,295,295,295,295,2.6640843999921344,1.425006440090868,86730,0.9964894214941922,4.877966101694915,0.03810911016949153,0.02690791962517724,3.4442137120226866,0.0,1.0,4.0,10.300000000000011,31.0,295,64.13670010377032,0.5010679695607057,0.040719465992141594,5.212091646994124,38.0,56.0,64.0,73.0,87.0,86730,14,0.0,0.020338983050847456,31,0.0,31,0.0,0.0,59.25873400207541,13.414558860826093
Single-sweep,enrolled_cohort,128,enroll_5_test_3,5,3,295,295,295,295,2.7125021999818273,1.4460328796689035,86730,0.9964894214941922,4.0,0.03125,0.02155491954891514,2.759029702261138,0.0,1.0,3.0,9.0,18.0,295,64.13616972212614,0.5010638259541105,0.04065531839684798,5.2038807547965416,37.0,56.0,64.0,73.0,86.0,86730,14,0.0,0.010169491525423728,18,0.0,18,0.0,0.0,60.13616972212614,14.438836957518612
Single-sweep,enrolled_cohort,128,enroll_5_test_4,5,4,295,295,295,295,2.4258899000124075,1.4561640663009325,86730,0.9964894214941922,3.7084745762711866,0.028972457627118645,0.01885758276730025,2.413770594214432,0.0,1.0,3.0,8.0,17.0,295,64.14274184249972,0.501115170644529,0.040694930637986224,5.208951121662237,36.0,56.0,64.0,73.0,86.0,86730,14,0.0,0.003389830508474576,17,0.0,17,0.0,0.0,60.43426726622853,14.887035125957082
Multi-sweep,enrolled_cohort,128,test_1,"2,3,4,5",1,295,295,1180,1180,2.388908199965954,1.4267474582608222,86730,0.9961946006843762,5.179661016949153,0.040466101694915255,0.025128045075022132,3.216389769602833,0.0,1.0,5.0,11.0,19.0,295,64.14177331949729,0.5011076040585726,0.04070191562110827,5.209845199501858,42.0,56.0,64.0,73.0,85.0,86730,14,0.0,0.020338983050847456,19,0.0,19,0.0,0.0,58.962112302548135,13.618959309502225
Multi-sweep,enrolled_cohort,128,test_2,"1,3,4,5",2,295,295,1180,1180,2.9835888000088744,1.3184247435844045,86730,0.9961542200039484,3.6271186440677967,0.028336864406779662,0.02084487143381067,2.6681435435277656,0.0,1.0,3.0,8.0,21.0,295,64.14590107229333,0.5011398521272916,0.040594427380725835,5.196086704732907,42.0,56.0,64.0,73.0,84.0,86730,14,0.0,0.006779661016949152,21,0.0,21,0.0,0.0,60.51878242822553,14.65249032570478
