Stage,Window,N_Points,ID_Bits,Authentication_Index,Training_Indices,PC,Explained_Variance_Ratio,Cumulative_Explained_Variance
1_Window_Selection,10k-1000k,500,64,2,"1,3,4,5",54,0.0009179505923130311,0.9619033509294355
1_Window_Selection,10k-1000k,500,64,2,"1,3,4,5",55,0.0008908686249751726,0.9627942195544107
1_Window_Selection,10k-1000k,500,64,2,"1,3,4,5",56,0.0008664982795729273,0.9636607178339837
1_Window_Selection,10k-1000k,500,64,2,"1,3,4,5",57,0.0008610002702450921,0.9645217181042287
1_Window_Selection,10k-1000k,500,64,2,"1,3,4,5",58,0.0008215637626172558,0.9653432818668459
1_Window_Selection,10k-1000k,500,64,2,"1,3,4,5",59,0.0008054223624689331,0.9661487042293149
1_Window_Selection,10k-1000k,500,64,2,"1,3,4,5",60,0.0007799410619969456,0.9669286452913118
1_Window_Selection,10k-1000k,500,64,2,"1,3,4,5",61,0.0007510830110917831,0.9676797283024037
1_Window_Selection,10k-1000k,500,64,2,"1,3,4,5",62,0.0007121053714340636,0.9683918336738377
1_Window_Selection,10k-1000k,500,64,2,"1,3,4,5",63,0.0006979069135136641,0.9690897405873514
1_Window_Selection,10k-1000k,500,64,2,"1,3,4,5",64,0.0006939610451448744,0.9697837016324963
1_Window_Selection,10k-1000k,500,64,3,"1,2,4,5",1,0.49903326490061967,0.49903326490061967
1_Window_Selection,10k-1000k,500,64,3,"1,2,4,5",2,0.15818514207704984,0.6572184069776695
1_Window_Selection,10k-1000k,500,64,3,"1,2,4,5",3,0.03990276873057943,0.6971211757082489
1_Window_Selection,10k-1000k,500,64,3,"1,2,4,5",4,0.03799857418468861,0.7351197498929376
1_Window_Selection,10k-1000k,500,64,3,"1,2,4,5",5,0.0240160222820894,0.759135772175027
1_Window_Selection,10k-1000k,500,64,3,"1,2,4,5",6,0.017892082676946048,0.7770278548519731
1_Window_Selection,10k-1000k,500,64,3,"1,2,4,5",7,0.016978579987235152,0.7940064348392083
1_Window_Selection,10k-1000k,500,64,3,"1,2,4,5",8,0.013049444976233037,0.8070558798154414
1_Window_Selection,10k-1000k,500,64,3,"1,2,4,5",9,0.011759425914271808,0.8188153057297132
1_Window_Selection,10k-1000k,500,64,3,"1,2,4,5",10,0.01109880266950318,0.8299141083992163
1_Window_Selection,10k-1000k,500,64,3,"1,2,4,5",11,0.009157064905282267,0.8390711733044985
1_Window_Selection,10k-1000k,500,64,3,"1,2,4,5",12,0.008446098562684063,0.8475172718671826
1_Window_Selection,10k-1000k,500,64,3,"1,2,4,5",13,0.007628320792519313,0.8551455926597019
1_Window_Selection,10k-1000k,500,64,3,"1,2,4,5",14,0.007284262592719152,0.8624298552524211
1_Window_Selection,10k-1000k,500,64,3,"1,2,4,5",15,0.006383248235306078,0.8688131034877272
1_Window_Selection,10k-1000k,500,64,3,"1,2,4,5",16,0.006341976022277034,0.8751550795100043
1_Window_Selection,10k-1000k,500,64,3,"1,2,4,5",17,0.006009432481153545,0.8811645119911579
1_Window_Selection,10k-1000k,500,64,3,"1,2,4,5",18,0.005564122814211527,0.8867286348053693
1_Window_Selection,10k-1000k,500,64,3,"1,2,4,5",19,0.004923923346021591,0.8916525581513909
1_Window_Selection,10k-1000k,500,64,3,"1,2,4,5",20,0.004591986911973693,0.8962445450633646
