Scenario,Cohort_Protocol,ID_Bits,Fold,Bit_Block,Block_Bits,Intra_Mean,Intra_Mean_Normalized,Intra_Std,Intra_Min,Intra_Max,Inter_Mean,Inter_Mean_Normalized,Inter_Std,Inter_Min,Inter_Max,D_Prime
Multi-sweep,enrolled_cohort,128,test_3,65-128,64,2.2135593220338983,0.03458686440677966,1.735528858125757,0.0,10.0,32.07635189669088,0.501192998385795,3.818394098740531,15.0,48.0,10.068978506901308
Multi-sweep,enrolled_cohort,128,test_4,1-64,64,1.0813559322033899,0.016896186440677967,1.1606464560798038,0.0,5.0,32.08068719013029,0.5012607373457858,3.877996997944102,15.0,50.0,10.830072540226709
Multi-sweep,enrolled_cohort,128,test_4,65-128,64,2.2576271186440677,0.03527542372881356,1.7655242799054185,0.0,12.0,32.06659748645221,0.5010405857258158,3.8357732339157047,16.0,51.0,9.9835149505847
Multi-sweep,enrolled_cohort,128,test_5,1-64,64,1.3457627118644069,0.021027542372881357,1.3359653486863272,0.0,8.0,32.08124063184596,0.5012693848725931,3.8822140535395455,12.0,49.0,10.58699458827534
Multi-sweep,enrolled_cohort,128,test_5,65-128,64,2.5864406779661016,0.04041313559322034,1.8821988902040223,0.0,14.0,32.072108843537414,0.5011267006802721,3.8375879492204046,15.0,47.0,9.755726635162628
Multi-sweep,enrolled_cohort,128,aggregate,1-64,64,1.2996610169491525,0.020307203389830508,1.4566438420458858,0.0,13.0,32.078418079096046,0.5012252824858757,3.881118911211834,12.0,50.0,10.500080544817784
Multi-sweep,enrolled_cohort,128,aggregate,65-128,64,2.5606779661016947,0.04001059322033898,1.8968157495685574,0.0,14.0,32.07009800530382,0.5010952813328722,3.8346998599236954,15.0,51.0,9.754758308629356
Single-sweep,heldout_sensor_cohort,128,enroll_1_test_2,1-64,64,1.4666666666666666,0.022916666666666665,1.50248835748162,0.0,6.0,31.66896551724138,0.49482758620689654,4.205681683423608,18.0,43.0,9.563909930509958
Single-sweep,heldout_sensor_cohort,128,enroll_1_test_2,65-128,64,2.3666666666666667,0.03697916666666667,1.4259499757471625,0.0,6.0,31.973563218390805,0.4995869252873563,4.167161882135753,17.0,43.0,9.50655158837568
Single-sweep,heldout_sensor_cohort,128,enroll_1_test_3,1-64,64,1.8333333333333333,0.028645833333333332,1.743625500231478,0.0,6.0,31.658620689655173,0.4946659482758621,4.210733496236295,18.0,42.0,9.254992929239666
Single-sweep,heldout_sensor_cohort,128,enroll_1_test_3,65-128,64,2.6333333333333333,0.04114583333333333,1.3256965204630418,0.0,5.0,31.973563218390805,0.4995869252873563,4.18039590931284,18.0,46.0,9.461346509667003
Single-sweep,heldout_sensor_cohort,128,enroll_1_test_4,1-64,64,2.033333333333333,0.03177083333333333,1.9384197853839134,0.0,8.0,31.633333333333333,0.4942708333333333,4.172355916429472,17.0,42.0,9.0988615106723
Single-sweep,heldout_sensor_cohort,128,enroll_1_test_4,65-128,64,2.9,0.0453125,1.6262925893598903,0.0,6.0,32.04252873563218,0.5006645114942528,4.246087542776579,18.0,45.0,9.0641912711903
Single-sweep,heldout_sensor_cohort,128,enroll_1_test_5,1-64,64,2.1333333333333333,0.03333333333333333,2.1291625896895083,0.0,10.0,31.675862068965518,0.4949353448275862,4.1817997215023945,17.0,43.0,8.90320335973148
Single-sweep,heldout_sensor_cohort,128,enroll_1_test_5,65-128,64,2.933333333333333,0.04583333333333333,1.4840144374549435,0.0,6.0,32.00689655172414,0.5001077586206897,4.202574505574147,18.0,44.0,9.225303375224119
Single-sweep,heldout_sensor_cohort,128,enroll_2_test_1,1-64,64,1.6666666666666667,0.026041666666666668,1.4932799662056893,0.0,7.0,31.47586206896552,0.49181034482758623,4.207094821775608,20.0,44.0,9.443145963143111
Single-sweep,heldout_sensor_cohort,128,enroll_2_test_1,65-128,64,2.466666666666667,0.03854166666666667,1.4319827906241327,0.0,5.0,31.795402298850576,0.49680316091954024,4.410676137755937,20.0,47.0,8.944215685311478
Single-sweep,heldout_sensor_cohort,128,enroll_2_test_3,1-64,64,0.9666666666666667,0.015104166666666667,0.9278574999588488,0.0,4.0,31.41264367816092,0.49082255747126435,4.296928134362499,19.0,44.0,9.794689142458822
Single-sweep,heldout_sensor_cohort,128,enroll_2_test_3,65-128,64,2.0,0.03125,1.3896166675593025,0.0,6.0,31.744827586206895,0.49601293103448274,4.421850718784512,19.0,46.0,9.075507519343464
Single-sweep,heldout_sensor_cohort,128,enroll_2_test_4,1-64,64,1.3666666666666667,0.021354166666666667,1.3514572807192966,0.0,6.0,31.45632183908046,0.4915050287356322,4.25751082480632,19.0,44.0,9.526423861339865
Single-sweep,heldout_sensor_cohort,128,enroll_2_test_4,65-128,64,2.433333333333333,0.03802083333333333,1.4064710873459965,0.0,5.0,31.785057471264366,0.4966415229885057,4.330267301088892,20.0,46.0,9.117074470802853
Single-sweep,heldout_sensor_cohort,128,enroll_2_test_5,1-64,64,1.5666666666666667,0.024479166666666666,1.6120950886075684,0.0,7.0,31.486206896551725,0.4919719827586207,4.247159002074823,18.0,44.0,9.314175566518788
