#Digilent WaveForms Impedance Analyzer - Input
#Device Name: Discovery3
#Serial Number: SN:210415BCF32A
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 50000 Hz
#Stop: 100000 Hz
#Steps: 2001
#Order: W1-C1-DUT-C2-R-GND
#Resistor: 100 O
#Average: 1
#ProbeResistance: 1.008e+06 O
#ProbeCapacitance: 4e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.02 s
#MinPeriods: 2
#Scale: Logarithmic
#ScopeC
#SChannel: 1 
#Range: 5.19029 V
#Offset: -0.000201859 V
#Attenuation: 1 X
#ScopeC
#SChannel: 2 
#Range: 5.18513 V
#Offset: -0.000198608 V
#Attenuation: 1 X

Frequency (Hz),Trace M (dB)
52686.30831697737,18.67302958560606
52704.57116453691,18.667432192412
52722.84034261402,18.65611094901703
52741.11585340308,18.63935192076148
52759.39769909923,18.64463362033737
52777.68588189834,18.62845719591878
52795.98040399708,18.62990958035328
52814.28126759287,18.60538886231584
52832.58847488387,18.59769614945412
52850.90202806902,18.59831312658243
52869.22192934804,18.59263918480348
52887.54818092136,18.57222821525371
52905.88078499024,18.56092373555801
52924.21974375664,18.56260395943996
52942.56505942334,18.54233200196821
52960.91673419383,18.53927128600451
52979.2747702724,18.52328543647135
52997.63916986409,18.51291038311437
53016.00993517473,18.51505222939479
53034.38706841085,18.50429020295434
53052.77057177983,18.49520598378911
53071.16044748974,18.48651323322484
53089.55669774946,18.47386370629762
53107.95932476863,18.46856984509087
53126.36833075764,18.46858742252082
53144.78371792767,18.46213553824132
53163.20548849062,18.44658915761104
53181.63364465923,18.44106369359078
53200.06818864695,18.43472577730719
53218.509122668,18.42588386082815
53236.9564489374,18.41126236461551
53255.41016967089,18.41486567297566
53273.87028708503,18.40713020719966
53292.33680339713,18.40481199821809
53310.80972082524,18.40733621968438
53329.28904158824,18.38407175468881
53347.77476790568,18.39343125411528
53366.266901998,18.39245556942694
53384.76544608633,18.38401402257842
53403.27040239258,18.38094050834796
53421.78177313945,18.37501227566777
53440.29956055041,18.36703628696956
53458.82376684967,18.36120636573896
53477.35439426224,18.3685888803124
53495.89144501391,18.35860106399069
53514.43492133121,18.35665455810042
53532.98482544145,18.34212816852058
53551.54115957275,18.35002390641709
53570.10392595394,18.34661453964359
53588.67312681467,18.33599977632913
53607.24876438533,18.33400906212769
53625.83084089713,18.32540203622841
53644.419358582,18.31854245491316
53663.01431967268,18.30951262383478
53681.61572640266,18.30161630434553
53700.22358100623,18.29525903362472
53718.83788571841,18.2892588283917
53737.45864277507,18.27147679917628
53756.08585441278,18.25830463827867
53774.71952286892,18.25407807790275
53793.35965038164,18.24120345804331
53812.00623918986,18.23614280314835
53830.6592915333,18.21389914944275
53849.31880965242,18.20604547601632
53867.98479578851,18.19131998577271
53886.65725218355,18.18123618668906
53905.33618108039,18.16472388792464
53924.02158472259,18.15186723776104
53942.71346535454,18.14123183377053
53961.41182522136,18.12338375603413
53980.11666656899,18.12379657323508
53998.82799164412,18.09235716940678
54017.54580269424,18.08599948495263
54036.27010196757,18.06937670553474
54055.0008917132,18.06580077930905
54073.73817418091,18.04535650729231
54092.4819516213,18.02552812901082
54111.23222628574,18.02421228857976
54129.98900042642,18.00195556366852
54148.75227629624,17.99024757773765
54167.52205614894,17.97108906640228
54186.29834223902,17.94964332804538
54205.08113682174,17.95507878739049
54223.87044215318,17.92956776966264
54242.66626049017,17.9172625552116
54261.46859409037,17.90172451321725
54280.27744521214,17.87781089062666
54299.09281611472,17.87559890955262
54317.91470905804,17.85410948299946
54336.74312630291,17.8424268017206
54355.57807011083,17.82287198048752
54374.41954274414,17.81079569165581
54393.26754646597,17.78689455990583
54412.12208354019,17.7907514359977
54430.98315623149,17.77094211682335
54449.85076680533,17.76133646347872
54468.72491752796,17.74477121961506
54487.60561066641,17.72784288948658
54506.49284848853,17.71361571003448
54525.3866332629,17.7003267373338
54544.2869672589,17.68572313628823
54563.19385274675,17.68001668961652
54582.1072919974,17.6635651795732
54601.02728728261,17.65237067538754
54619.9538408749,17.63077832803926
54638.88695504764,17.61713227065069
54657.8266320749,17.60520755835595
54676.77287423162,17.59003814456119
54695.72568379348,17.56889763447328
54714.68506303698,17.5507615857222
54733.65101423938,17.5500848629969
54752.62353967874,17.52935916277831
54771.60264163391,17.51769129294275
54790.58832238454,17.5095347876789
54809.58058421108,17.49644904121718
54828.57942939471,17.47009421535716
54847.58486021747,17.46086826476882
54866.59687896216,17.45350860739421
54885.61548791238,17.4339589608423
54904.64068935251,17.42178741501678
54923.67248556771,17.40275906828093
54942.71087884398,17.39037748815984
54961.75587146809,17.37776492176243
54980.80746572756,17.36462372567333
54999.86566391079,17.35435909388052
55018.93046830686,17.33875885947043
55038.00188120575,17.32427182152007
55057.07990489819,17.30396424954009
55076.16454167567,17.29851564698185
55095.25579383055,17.28009599993112
55114.3536636559,17.2663160490623
55133.45815344566,17.25542881466984
55152.56926549451,17.23465227258902
55171.68700209797,17.23120588705224
55190.81136555232,17.21354285414525
55209.94235815464,17.19737604715557
55229.07998220284,17.19643296863347
55248.22423999559,17.17701631790018
55267.37513383236,17.16419458848571
55286.53266601345,17.15588778436268
55305.6968388399,17.13943432383892
55324.86765461362,17.1310539050275
55344.04511563724,17.11271333443847
55363.22922421426,17.1062680335726
55382.41998264892,17.10384286165725
55401.61739324631,17.07868845187761
55420.82145831226,17.07016785534891
55440.03218015347,17.06434489439715
55459.24956107738,17.04847160470669
55478.47360339227,17.03170668971406
55497.70430940716,17.01610667253338
55516.94168143196,17.0142456051614
55536.18572177731,17.00762677664451
55555.43643275469,16.99375713545416
55574.69381667634,16.98153299235329
55593.95787585535,16.97478325368549
55613.22861260558,16.96260676229097
55632.5060292417,16.95511504702175
55651.79012807919,16.94814567200027
55671.08091143432,16.93108556003904
55690.37838162417,16.92212248000003
55709.68254096662,16.90977060257002
55728.99339178036,16.89492233266471
55748.31093638489,16.89337703682866
55767.63517710046,16.88211200027632
55786.96611624822,16.88942128143296
55806.30375615003,16.86983807889754
55825.64809912863,16.87142490256719
55844.99914750751,16.85752861685366
55864.35690361101,16.8488583707367
55883.72136976423,16.84711734739442
55903.0925482931,16.84032503629007
55922.47044152436,16.84103065534314
55941.85505178557,16.82722064445668
55961.24638140506,16.8211188196046
55980.64443271198,16.81630096056224
56000.0492080363,16.82029619343551
56019.46070970882,16.8104123443586
