Method,ID_Bits,Bits_Per_Feature,Fold,Enrollment_Index,Authentication_Index,Devices,Fit_Seconds,Mean_Transform_Milliseconds,Directed_Impostor_Comparisons,Intra_Mean,Intra_Mean_Normalized,Intra_Std,Intra_Min,Intra_Q05,Intra_Median,Intra_Q95,Intra_Max,Intra_Count,Inter_Mean,Inter_Mean_Normalized,Inter_Std,Inter_Min,Inter_Q05,Inter_Median,Inter_Q95,Inter_Max,Inter_Count,Fixed_Threshold,Fixed_Threshold_Normalized,FAR_At_Fixed_Threshold,FRR_At_Fixed_Threshold,Descriptive_EER,Descriptive_EER_Threshold,Minimum_Balanced_Error,Minimum_Balanced_Error_Threshold,Empirical_Overlap_Coefficient,Unique_Identifiers,Collision_Rate,Empirical_Codeword_Entropy_Bits,Active_Bit_Count,Constant_Bit_Count,Active_Bit_Fraction,Mean_Absolute_Bit_Bias,Mean_Absolute_Bit_Correlation
Direct-Scalar,12,4,enroll_3_test_4,3,4,295,0.008802599972113967,0.0922806785931274,86730,0.16271186440677965,0.013559322033898305,0.5779091756798359,0,0.0,0.0,1.0,4,295,2.071094200392021,0.17259118336600177,1.3713458146511794,0,0.0,2.0,4.0,12,86730,2,0.16666666666666666,0.6734232676121296,0.01694915254237288,0.0884180790960452,0,0.0884180790960452,0,0.1768361581920904,18,0.9389830508474576,3.7074704122178948,12,0,1.0,0.3480225988700565,0.4228439209555305
Direct-Scalar,12,4,enroll_3_test_5,3,5,295,0.009509499999694526,0.08356440772886499,86730,0.2,0.016666666666666666,0.7171371656006361,0,0.0,0.0,1.3000000000000114,7,295,2.049233252623083,0.17076943771859024,1.3146133492541057,0,0.0,2.0,4.0,12,86730,2,0.16666666666666666,0.6746685114723856,0.02711864406779661,0.0936008301625735,0,0.0936008301625735,0,0.18424997117491065,18,0.9389830508474576,3.7074704122178948,12,0,1.0,0.3480225988700565,0.4228439209555305
Direct-Scalar,12,4,enroll_4_test_1,4,1,295,0.009153499966487288,0.07615694894565869,86730,0.4915254237288136,0.040960451977401134,1.0525783270405662,0,0.0,0.0,3.0,7,295,2.0477112879049923,0.17064260732541603,1.3096872125123173,0,0.0,2.0,4.0,12,86730,2,0.16666666666666666,0.6745186210077251,0.0711864406779661,0.15654329528421537,0,0.15654329528421537,0,0.31004266113224954,18,0.9389830508474576,3.6867771063589823,12,0,1.0,0.35141242937853107,0.4229431598424835
Direct-Scalar,12,4,enroll_4_test_2,4,2,295,0.010842799965757877,0.08281728694752111,86730,0.2677966101694915,0.02231638418079096,0.8035721011565654,0,0.0,0.0,2.0,7,295,2.0402167646719707,0.17001806372266423,1.292928355823957,0,0.0,2.0,4.0,12,86730,2,0.16666666666666666,0.6763288366193935,0.023728813559322035,0.10961028479188285,0,0.10961028479188285,0,0.2166263115415658,18,0.9389830508474576,3.6867771063589823,12,0,1.0,0.35141242937853107,0.4229431598424835
Direct-Scalar,12,4,enroll_4_test_3,4,3,295,0.01131939998595044,0.07679084536887831,86730,0.15932203389830507,0.01327683615819209,0.610319043383817,0,0.0,0.0,1.0,4,295,2.0676813098120603,0.1723067758176717,1.3724597379302395,0,0.0,2.0,4.0,12,86730,2,0.16666666666666666,0.6736999884699643,0.020338983050847456,0.08218032975902226,0,0.08218032975902226,0,0.16436065951804452,18,0.9389830508474576,3.6867771063589823,12,0,1.0,0.35141242937853107,0.4229431598424835
Direct-Scalar,12,4,enroll_4_test_5,4,5,295,0.011736100015696138,0.0761874564686569,86730,0.15254237288135594,0.012711864406779662,0.6601782722034925,0,0.0,0.0,1.0,7,295,2.0448057188977287,0.17040047657481072,1.3169973231743441,0,0.0,2.0,4.0,12,86730,2,0.16666666666666666,0.6759252853683846,0.01694915254237288,0.0807390752911334,0,0.0807390752911334,0,0.15853799146777353,18,0.9389830508474576,3.6867771063589823,12,0,1.0,0.35141242937853107,0.4229431598424835
Direct-Scalar,12,4,enroll_5_test_1,5,1,295,0.009699399990495294,0.07712135458428224,86730,0.5186440677966102,0.04322033898305085,1.0295753328817832,0,0.0,0.0,3.0,4,295,2.0270955839963105,0.16892463199969254,1.2482935826996853,0,0.0,2.0,4.0,12,86730,2,0.16666666666666666,0.6757292747607517,0.07457627118644068,0.16673008186325378,0,0.16673008186325378,0,0.3334601637265076,17,0.9423728813559322,3.6655163257938868,12,0,1.0,0.35197740112994347,0.4699160513220766
Direct-Scalar,12,4,enroll_5_test_2,5,2,295,0.008094699995126575,0.07321999676651873,86730,0.26101694915254237,0.02175141242937853,0.7211614189824328,0,0.0,0.0,2.0,4,295,2.0198086014066643,0.16831738345055536,1.2326016826155788,0,0.0,2.0,4.0,12,86730,2,0.16666666666666666,0.6765248472270264,0.023728813559322035,0.11311541565778854,0,0.11311541565778854,0,0.22623083131557709,17,0.9423728813559322,3.6655163257938868,12,0,1.0,0.35197740112994347,0.4699160513220766
Direct-Scalar,12,4,enroll_5_test_3,5,3,295,0.010166399995796382,0.06629830755103948,86730,0.16610169491525423,0.01384180790960452,0.6872527804096473,0,0.0,0.0,2.0,7,295,2.0480341289057997,0.17066951074214998,1.3160076697958247,0,0.0,2.0,4.0,12,86730,2,0.16666666666666666,0.6739190591490833,0.020338983050847456,0.07895191975095123,0,0.07895191975095123,0,0.15494062031592298,17,0.9423728813559322,3.6655163257938868,12,0,1.0,0.35197740112994347,0.4699160513220766
Direct-Scalar,12,4,enroll_5_test_4,5,4,295,0.013150200014933944,0.06815999927851608,86730,0.13898305084745763,0.011581920903954802,0.6528370709513575,0,0.0,0.0,1.0,7,295,2.0445981782543527,0.17038318152119605,1.3169781028523393,0,0.0,2.0,4.0,12,86730,2,0.16666666666666666,0.6756255044390638,0.013559322033898305,0.07230485414504785,0,0.07230485414504785,0,0.14164648910411623,17,0.9423728813559322,3.6655163257938868,12,0,1.0,0.35197740112994347,0.4699160513220766
